name	PercNA	H	RandomNomCat
	int	int	categorical
тотарга (ловить)	49	0.805975200749	TRUE
сикерергә (прыгать)	100	0,00	TRUE
суыртырга (всасывать)	47	2.08709506883	FALSE
бушатырга (разгружать)	68	1.76978454594	FALSE
тарарга (расчесывать)	75	0.81895550184	FALSE
камыр басарга (месить)	53	1.87359771462	FALSE
сибәргә (поливать)	98	0.139232999055	TRUE
тыңларга (слушать)	100	0,00	FALSE
ачуланырга (злиться)	61	1.96920380987	FALSE
утыртырга (сажать)	100	0,00	FALSE
түгәргә (выливать)	71	1.58650450749	TRUE
керергә (въезжать)	37	2.22879839298	FALSE
чыгарга (переходить)	59	1.90132468811	TRUE
урарга (наматывать)	20	3.22794905765	TRUE
күз кысарга (щуриться)	20	3.65540531372	FALSE
бәйләргә (вязать)	100	0,00	FALSE
буярга (красить)	92	0.415990047175	TRUE
ашарга (есть. кушать)	92	0.514274831602	TRUE
сындырырга (ломать)	75	1.16359062582	FALSE
бөдрәләтергә (завивать)	41	3.02795757018	FALSE
кидерергә (одевать)	27	3.42561786307	FALSE
ялтырарга (блестеть)	63	2.01821891106	FALSE
ташырга (нести)	33	1.93262792148	FALSE
ямарга (залатать)	16	3.60088141076	FALSE
юарга (мыть)	66	1.62860452763	FALSE
очарга  (летать)	88	0.787456923641	TRUE
тартырга (курить)	64	1.1535036569	TRUE
ашатырга (кормить)	98	0.139232999055	TRUE
туктатырга (останавливать)	90	0.690389067881	FALSE
җыештырырга (убирать)	78	0.899749875139	FALSE
мияуларга (мяукать)	31	2.77894237304	TRUE
эзләргә (искать)	75	1.62975606721	TRUE
борырга (заводить)	29	3.21234764056	FALSE
кычкырырга (звать (громким голосом)	76	1.35613737068	FALSE
кияргә (одевать. надевать)	57	2.24584197257	TRUE
яратырга (любить)	67	2.03068761443	FALSE
тамарга (капать)	82	0.981597513366	TRUE
саубуллашырга (прощаться)	29	3.63782498133	TRUE
ясарга (делать)	65	1.91586805927	FALSE
барырга (идти)	68	1.4628926939	TRUE
чабарга (косить)	53	1.78036462635	FALSE
атларга (шагать)	68	1.68174091858	FALSE
шакырга (стучать)	80	1.16929529904	FALSE
сызгырырга (свистеть)	76	1.43456874323	FALSE
качарга (убегать)	49	2.20330129947	TRUE
бизәргә (украшать)	82	1.03561491537	FALSE
чукынырга (креститься)	27	2.93549114891	TRUE
карарга (смотреть)	96	0.277900197626	FALSE
алырга (доставать)	66	1.59134698783	TRUE
менәргә (подниматься)	73	1.49567167462	FALSE
ачарга (открывать)	92	0.553490517876	TRUE
киендерергә (одевать)	61	2.09204032961	TRUE
кабартырга (надувать)	71	1.63090965468	FALSE
кочакларга (обнимать)	88	0.748241237367	TRUE
кочаклашырга (обниматься)	39	2.52657118711	FALSE
сыларга (мазать)	43	1.82623518546	TRUE
шартлатырга (взрывать)	37	2.86793449752	TRUE
авырырга (болеть)	39	2.32935831631	FALSE
шалтыратырга (звонить)	33	2.85169500582	FALSE
өзелергә (обрываться)	63	1.96988546128	FALSE
чишендерергә (раздевать)	82	1.07483060164	TRUE
тәгәрәргә (катиться)	51	2.06601770507	FALSE
манырга (макать)	29	3.24566811858	FALSE
егылырга (падать)	80	1.04450063284	FALSE
йөзәргә (плыть) / плыть (руками)	94	0.415990047175	FALSE
кырынырга (бриться)	88	0.733439521638	FALSE
йөрергә (ходить)	57	2.35583492305	TRUE
язарга (писАть)	92	0.553490517876	FALSE
җәзаларга (пытать. казнить)	45	3.06141866613	FALSE
агарга (течь)	88	0.787456923641	FALSE
батырырга (топить)	71	1.58650450749	FALSE
өстерәргә (тащить)	51	2.40104057423	TRUE
эчәргә (пить)	80	0.805975200749	FALSE
көтәргә (ждать)	33	2.51562841441	FALSE
пешерергә (варить. готовить)	78	1.2482682577	FALSE
буарга (душить)	78	1.36591531653	TRUE
бирергә (давать)	86	0.658214239533	FALSE
йөртергә (возить)	57	1.66880930731	TRUE
дирижерлык итәргә (дирижировать)	20	3.55173950043	FALSE
атарга (стрелять)	37	3.1582998957	FALSE
ыргытырга/атарга (бросать. кидать)	43	1.7466412004	FALSE
уйнарга (играть)	73	1.39004771486	FALSE
сикерергә  (прыгать)	98	0.139232999055	TRUE
керергә (входить)	39	2.39204954323	FALSE
чыгарга (выходить)	53	2.10073122297	TRUE
кисәргә (пилить)	58	1.27506518718	TRUE
кул чабарга (апплодировать)	69	1.61292180085	TRUE
кисәргә (резать)	49	2.43732224915	TRUE
уйнарга (играть)	26	2.06397148835	FALSE
очарга  (летать)	96	0.277900197626	FALSE
баш ияргә (кланяться)	43	2.36139822212	TRUE
ысылдарга (шипеть)	39	2.49211626966	TRUE
атынырга (качаться)	80	1.16929529904	TRUE
тартырга (тянуть)	47	1.3815250967	TRUE
үбешергә (целоваться)	75	0.81895550184	TRUE
түгәргә (выливать)	43	2.64279546738	FALSE
сугышырга (драться)	82	1.19247766047	TRUE
ябарга (закрывать)	92	0.460257429599	TRUE
җимерергә (разрушать)	69	1.23037719292	FALSE
куркырга (бояться)	57	2.37829074712	TRUE
чукырга (клевать. поклевать)	80	1.32615804414	FALSE
шуарга (кататься)	63	1.59192110009	TRUE
сугарга (стучать)	76	1.43456874323	TRUE
чагарга (жалить)	53	1.6441780364	TRUE
имәргә (сосать)	84	0.940476627223	TRUE
уйнарга (играть)	49	2.25604553351	FALSE
